Image Name,PSNR (dB),SSIM,LPIPS
0801.png,27.2175,0.8548,0.1823
0802.png,29.1544,0.7302,0.1182
0803.png,27.3492,0.8846,0.1677
0804.png,21.3185,0.6980,0.3277
0805.png,20.6285,0.5404,0.5326
0806.png,19.4081,0.6057,0.4132
0807.png,17.2151,0.3267,0.6391
0808.png,27.0779,0.7856,0.2620
0809.png,25.7566,0.6829,0.3861
0810.png,22.9436,0.7523,0.3249
Average,23.8069,0.6861,0.3354
