Image Name,PSNR (dB),SSIM,LPIPS
0801.png,27.1679,0.8548,0.1820
0802.png,29.1772,0.7324,0.1171
0803.png,27.3178,0.8845,0.1680
0804.png,21.2870,0.6978,0.3267
0805.png,20.5763,0.5406,0.5347
0806.png,19.4055,0.6058,0.4125
0807.png,17.1867,0.3264,0.6383
0808.png,26.9800,0.7850,0.2630
0809.png,25.7498,0.6834,0.3855
0810.png,22.9471,0.7523,0.3255
Average,23.7795,0.6863,0.3353
