Image Name,PSNR (dB),SSIM,LPIPS
0801.png,27.6581,0.8616,0.1834
0802.png,29.1900,0.7311,0.1368
0803.png,28.2391,0.8952,0.1531
0804.png,21.4690,0.7049,0.3331
0805.png,20.8132,0.5403,0.5399
0806.png,19.4705,0.6105,0.4252
0807.png,17.3873,0.3359,0.6458
0808.png,27.8732,0.7912,0.2768
0809.png,27.0202,0.6957,0.3742
0810.png,23.5751,0.7623,0.3162
Average,24.2696,0.6929,0.3384
