Image Name,PSNR (dB),SSIM,LPIPS
0801.png,25.9434,0.8437,0.2183
0802.png,28.5751,0.7352,0.1688
0803.png,26.4184,0.8762,0.2137
0804.png,21.0848,0.6854,0.3974
0805.png,20.2239,0.5261,0.5748
0806.png,19.5056,0.6046,0.4528
0807.png,17.6126,0.3425,0.6595
0808.png,27.3207,0.7856,0.3148
0809.png,25.1115,0.6799,0.4318
0810.png,23.0874,0.7513,0.4003
Average,23.4883,0.6830,0.3832
