Image Name,PSNR (dB),SSIM,LPIPS
0801.png,26.6380,0.8308,0.2004
0802.png,27.3405,0.6716,0.1312
0803.png,27.7021,0.8824,0.1622
0804.png,21.3593,0.6879,0.3739
0805.png,21.0148,0.5371,0.5171
0806.png,18.8135,0.5749,0.4509
0807.png,17.1208,0.3120,0.6733
0808.png,26.9491,0.7817,0.2858
0809.png,27.9827,0.6995,0.3216
0810.png,23.2361,0.7518,0.3058
Average,23.8157,0.6730,0.3422
