Image Name,PSNR (dB),SSIM,LPIPS
0801.png,26.1886,0.8289,0.2264
0802.png,28.2352,0.6989,0.1583
0803.png,27.8955,0.8878,0.1709
0804.png,21.7565,0.6928,0.3720
0805.png,20.7562,0.5094,0.5629
0806.png,19.5444,0.5973,0.4486
0807.png,17.6914,0.3293,0.6572
0808.png,27.6846,0.7873,0.2925
0809.png,26.8939,0.6847,0.4000
0810.png,24.1047,0.7638,0.3129
Average,24.0751,0.6780,0.3602
