Image Name,PSNR (dB),SSIM,LPIPS
0801.png,27.0812,0.8582,0.1945
0802.png,29.7379,0.7734,0.1529
0803.png,28.0048,0.8945,0.1612
0804.png,21.3789,0.6984,0.3604
0805.png,20.7347,0.5383,0.5488
0806.png,19.6240,0.6146,0.4324
0807.png,17.5899,0.3431,0.6394
0808.png,28.2163,0.7913,0.2730
0809.png,26.8010,0.6952,0.3956
0810.png,23.6181,0.7642,0.3325
Average,24.2787,0.6971,0.3491
