Image Name,PSNR (dB),SSIM,LPIPS
0801.png,26.1222,0.8251,0.2274
0802.png,28.1271,0.6960,0.1550
0803.png,27.8390,0.8872,0.1681
0804.png,21.7585,0.6894,0.3752
0805.png,20.7765,0.5057,0.5589
0806.png,19.5320,0.5932,0.4514
0807.png,17.7125,0.3281,0.6543
0808.png,27.7770,0.7874,0.2877
0809.png,27.1127,0.6844,0.3948
0810.png,24.1319,0.7627,0.3032
Average,24.0889,0.6759,0.3576
