Image Name,PSNR (dB),SSIM,LPIPS
0801.png,26.0876,0.8457,0.2159
0802.png,28.7271,0.7403,0.1676
0803.png,26.6133,0.8789,0.2062
0804.png,21.1218,0.6870,0.3935
0805.png,20.2599,0.5276,0.5723
0806.png,19.5294,0.6061,0.4502
0807.png,17.5853,0.3428,0.6581
0808.png,27.4201,0.7865,0.3104
0809.png,25.2752,0.6817,0.4301
0810.png,23.1624,0.7535,0.3917
Average,23.5782,0.6850,0.3796
