Image Name,PSNR (dB),SSIM,LPIPS
0801.png,26.6395,0.8310,0.2003
0802.png,27.3431,0.6721,0.1309
0803.png,27.7406,0.8828,0.1616
0804.png,21.3468,0.6879,0.3737
0805.png,21.0075,0.5379,0.5177
0806.png,18.7960,0.5745,0.4505
0807.png,17.0990,0.3117,0.6730
0808.png,26.8934,0.7816,0.2868
0809.png,27.9987,0.7002,0.3206
0810.png,23.2471,0.7515,0.3063
Average,23.8112,0.6731,0.3421
