Image Name,PSNR (dB),SSIM,LPIPS
0801.png,27.5924,0.8644,0.1904
0802.png,29.5009,0.7517,0.1469
0803.png,28.3082,0.8976,0.1541
0804.png,21.4372,0.7070,0.3396
0805.png,20.8811,0.5445,0.5466
0806.png,19.4420,0.6127,0.4259
0807.png,17.3787,0.3394,0.6453
0808.png,28.3043,0.7923,0.2779
0809.png,27.2400,0.6999,0.3940
0810.png,23.5217,0.7660,0.3206
Average,24.3606,0.6975,0.3441
