Image Name,PSNR (dB),SSIM,LPIPS
0801.png,27.4552,0.8623,0.1921
0802.png,29.3848,0.7461,0.1479
0803.png,28.1509,0.8960,0.1571
0804.png,21.4591,0.7058,0.3439
0805.png,20.8379,0.5420,0.5490
0806.png,19.4473,0.6126,0.4264
0807.png,17.3770,0.3391,0.6463
0808.png,28.2806,0.7924,0.2786
0809.png,26.9737,0.6976,0.3962
0810.png,23.4722,0.7645,0.3289
Average,24.2839,0.6958,0.3466
