Image Name,PSNR (dB),SSIM,LPIPS
0801.png,26.1283,0.8222,0.2197
0802.png,28.0167,0.6934,0.1455
0803.png,27.7605,0.8871,0.1668
0804.png,21.6630,0.6827,0.3848
0805.png,21.0032,0.5160,0.5335
0806.png,19.3864,0.5854,0.4605
0807.png,17.6973,0.3228,0.6730
0808.png,28.1883,0.7882,0.2870
0809.png,27.9365,0.6903,0.3568
0810.png,24.1644,0.7614,0.2897
Average,24.1945,0.6749,0.3517
