Image Name,PSNR (dB),SSIM,LPIPS
0801.png,24.7626,0.8149,0.2548
0802.png,25.7422,0.6436,0.1829
0803.png,24.6856,0.8336,0.2892
0804.png,20.6269,0.6775,0.4148
0805.png,19.9713,0.5241,0.5997
0806.png,18.6966,0.5705,0.4901
0807.png,17.1001,0.3117,0.7149
0808.png,25.4968,0.7697,0.3471
0809.png,23.6590,0.6590,0.4640
0810.png,22.2600,0.7292,0.5041
Average,22.3001,0.6534,0.4262
