Image Name,PSNR (dB),SSIM,LPIPS
0801.png,24.6852,0.8107,0.2588
0802.png,25.4678,0.6347,0.1857
0803.png,24.4660,0.8270,0.3038
0804.png,20.7377,0.6771,0.4135
0805.png,19.9841,0.5206,0.5984
0806.png,18.7005,0.5679,0.4922
0807.png,17.1437,0.3115,0.7135
0808.png,25.4863,0.7687,0.3446
0809.png,23.5603,0.6565,0.4670
0810.png,22.2038,0.7284,0.4990
Average,22.2435,0.6503,0.4277
