Image Name,PSNR (dB),SSIM,LPIPS
0801.png,16.4520,0.5364,0.5474
0802.png,16.2924,0.2957,0.5952
0803.png,15.6916,0.3794,0.7486
0804.png,15.8146,0.4884,0.6457
0805.png,15.0704,0.4108,0.7375
0806.png,15.5236,0.4024,0.6601
0807.png,14.3621,0.2238,0.8187
0808.png,17.4096,0.5639,0.7303
0809.png,15.2203,0.4217,0.6437
0810.png,15.0589,0.3355,0.9417
Average,15.6895,0.4058,0.7069
