Image Name,PSNR (dB),SSIM,LPIPS
0801.png,26.1119,0.8211,0.2188
0802.png,27.9125,0.6906,0.1448
0803.png,27.7592,0.8862,0.1670
0804.png,21.6448,0.6808,0.3877
0805.png,21.0045,0.5162,0.5314
0806.png,19.3918,0.5851,0.4595
0807.png,17.6907,0.3216,0.6700
0808.png,28.1373,0.7875,0.2857
0809.png,27.9270,0.6901,0.3551
0810.png,24.1629,0.7605,0.2854
Average,24.1743,0.6740,0.3506
