Image Name,PSNR (dB),SSIM,LPIPS
0801.png,27.7320,0.8629,0.1817
0802.png,29.2804,0.7346,0.1355
0803.png,28.3897,0.8966,0.1502
0804.png,21.4519,0.7061,0.3292
0805.png,20.8401,0.5427,0.5380
0806.png,19.4595,0.6104,0.4242
0807.png,17.3752,0.3359,0.6447
0808.png,27.9012,0.7914,0.2757
0809.png,27.2290,0.6979,0.3690
0810.png,23.6192,0.7634,0.3088
Average,24.3278,0.6942,0.3357
