Image Name,PSNR (dB),SSIM,LPIPS
0801.png,16.3979,0.5323,0.5497
0802.png,16.2213,0.2929,0.5982
0803.png,15.6395,0.3735,0.7542
0804.png,15.7679,0.4860,0.6474
0805.png,15.0644,0.4105,0.7389
0806.png,15.4877,0.4006,0.6609
0807.png,14.3466,0.2231,0.8192
0808.png,17.3744,0.5610,0.7326
0809.png,15.2094,0.4211,0.6456
0810.png,15.0111,0.3318,0.9442
Average,15.6520,0.4033,0.7091
